Date,Open,High,Low,Close,Volume
9/21/21,143.929993,144.600006,142.779999,143.429993,75834000
9/22/21,144.449997,146.429993,143.699997,145.850006,76404300
9/23/21,146.649994,147.080002,145.639999,146.830002,64838200
9/24/21,145.660004,147.470001,145.559998,146.919998,53477900
9/27/21,145.470001,145.960007,143.820007,145.369995,74150700
9/28/21,143.25,144.75,141.690002,141.910004,108972300
9/29/21,142.470001,144.449997,142.029999,142.830002,74602000
9/30/21,143.660004,144.380005,141.279999,141.5,89056700
10/1/21,141.899994,142.919998,139.110001,142.649994,94639600
10/4/21,141.759995,142.210007,138.270004,139.139999,98322000
10/5/21,139.490005,142.240005,139.360001,141.110001,80861100
10/6/21,139.470001,142.149994,138.369995,142,83221100
10/7/21,143.059998,144.220001,142.720001,143.289993,61732700
10/8/21,144.029999,144.179993,142.559998,142.899994,58773200
10/11/21,142.270004,144.809998,141.809998,142.809998,64452200
10/12/21,143.229996,143.25,141.039993,141.509995,73035900
10/13/21,141.240005,141.399994,139.199997,140.910004,78762700
10/14/21,142.110001,143.880005,141.509995,143.759995,69907100
10/15/21,143.770004,144.899994,143.509995,144.839996,67940300
10/18/21,143.449997,146.839996,143.160004,146.550003,85589200
10/19/21,147.009995,149.169998,146.550003,148.759995,76378900
10/20/21,148.699997,149.75,148.119995,149.259995,58418800
10/21/21,148.809998,149.639999,147.869995,149.479996,61421000
10/22/21,149.690002,150.179993,148.639999,148.690002,58883400
10/25/21,148.679993,149.369995,147.619995,148.639999,50720600
10/26/21,149.330002,150.839996,149.009995,149.320007,60893400
10/27/21,149.360001,149.729996,148.490005,148.850006,56094900
10/28/21,149.820007,153.169998,149.720001,152.570007,100077900
10/29/21,147.220001,149.940002,146.410004,149.800003,124953200
11/1/21,148.990005,149.699997,147.800003,148.960007,74588300
11/2/21,148.660004,151.570007,148.649994,150.020004,69122000
11/3/21,150.389999,151.970001,149.820007,151.490005,54511500
11/4/21,151.580002,152.429993,150.639999,150.960007,60394600
11/5/21,151.889999,152.199997,150.059998,151.279999,65463900
11/8/21,151.410004,151.570007,150.160004,150.440002,55020900
11/9/21,150.199997,151.429993,150.059998,150.809998,56787900
11/10/21,150.020004,150.130005,147.850006,147.919998,65187100
11/11/21,148.960007,149.429993,147.679993,147.869995,41000000
11/12/21,148.429993,150.399994,147.479996,149.990005,63804000
11/15/21,150.369995,151.880005,149.429993,150,59222800
11/16/21,149.940002,151.490005,149.339996,151,59256200
11/17/21,151,155,150.990005,153.490005,88807000
11/18/21,153.710007,158.669998,153.050003,157.869995,137827700
11/19/21,157.649994,161.020004,156.529999,160.550003,117305600
11/22/21,161.679993,165.699997,161,161.020004,117467900
11/23/21,161.119995,161.800003,159.059998,161.410004,96041900
11/24/21,160.75,162.139999,159.639999,161.940002,69463600
11/26/21,159.570007,160.449997,156.360001,156.809998,76959800
11/29/21,159.369995,161.190002,158.789993,160.240005,88748200
11/30/21,159.990005,165.520004,159.919998,165.300003,174048100
12/1/21,167.479996,170.300003,164.529999,164.770004,152052500
12/2/21,158.740005,164.199997,157.800003,163.759995,136739200
12/3/21,164.020004,164.960007,159.720001,161.839996,118023100
12/6/21,164.289993,167.880005,164.279999,165.320007,107497000
12/7/21,169.080002,171.580002,168.339996,171.179993,120405400
12/8/21,172.130005,175.960007,170.699997,175.080002,116998900
12/9/21,174.910004,176.75,173.919998,174.559998,108923700
12/10/21,175.210007,179.630005,174.690002,179.449997,115402700
12/13/21,181.119995,182.130005,175.529999,175.740005,153237000
12/14/21,175.25,177.740005,172.210007,174.330002,139380400
12/15/21,175.110001,179.5,172.309998,179.300003,131063300
12/16/21,179.279999,181.139999,170.75,172.259995,150185800
12/17/21,169.929993,173.470001,169.690002,171.139999,195432700
12/20/21,168.279999,170.580002,167.460007,169.75,107499100
12/21/21,171.559998,173.199997,169.119995,172.990005,91185900
12/22/21,173.039993,175.860001,172.149994,175.639999,92135300
12/23/21,175.850006,176.850006,175.270004,176.279999,68356600
12/27/21,177.089996,180.419998,177.070007,180.330002,74919600
12/28/21,180.160004,181.330002,178.529999,179.289993,79144300
12/29/21,179.330002,180.630005,178.139999,179.380005,62348900
12/30/21,179.470001,180.570007,178.089996,178.199997,59773000
12/31/21,178.089996,179.229996,177.259995,177.570007,64062300
1/3/22,177.830002,182.880005,177.710007,182.009995,104487900
1/4/22,182.630005,182.940002,179.119995,179.699997,99310400
1/5/22,179.610001,180.169998,174.639999,174.919998,94537600
1/6/22,172.699997,175.300003,171.639999,172,96904000
1/7/22,172.889999,174.139999,171.029999,172.169998,86709100
1/10/22,169.080002,172.5,168.169998,172.190002,106765600
1/11/22,172.320007,175.179993,170.820007,175.080002,76138300
1/12/22,176.119995,177.179993,174.820007,175.529999,74805200
1/13/22,175.779999,176.619995,171.789993,172.190002,84505800
1/14/22,171.339996,173.779999,171.089996,173.070007,80440800
1/18/22,171.509995,172.539993,169.410004,169.800003,90956700
1/19/22,170,171.080002,165.940002,166.229996,94815000
1/20/22,166.979996,169.679993,164.179993,164.509995,91420500
1/21/22,164.419998,166.330002,162.300003,162.410004,122848900
1/24/22,160.020004,162.300003,154.699997,161.619995,162294600
1/25/22,158.979996,162.759995,157.020004,159.779999,115798400
1/26/22,163.5,164.389999,157.820007,159.690002,108275300
1/27/22,162.449997,163.839996,158.279999,159.220001,121954600
1/28/22,165.710007,170.350006,162.800003,170.330002,179935700
1/31/22,170.160004,175,169.509995,174.779999,115541600
2/1/22,174.009995,174.839996,172.309998,174.610001,86213900
2/2/22,174.75,175.880005,173.330002,175.839996,84914300
2/3/22,174.479996,176.240005,172.119995,172.899994,89418100
2/4/22,171.679993,174.100006,170.679993,172.389999,82465400
2/7/22,172.860001,173.949997,170.949997,171.660004,77251200
2/8/22,171.729996,175.350006,171.429993,174.830002,74829200
2/9/22,176.050003,176.649994,174.899994,176.279999,71285000
2/10/22,174.139999,175.479996,171.550003,172.119995,90865900
2/11/22,172.330002,173.080002,168.039993,168.639999,98670700
2/14/22,167.369995,169.580002,166.559998,168.880005,86185500
2/15/22,170.970001,172.949997,170.25,172.789993,62527400
2/16/22,171.850006,173.339996,170.050003,172.550003,61177400
2/17/22,171.029999,171.910004,168.470001,168.880005,69589300
2/18/22,169.820007,170.539993,166.190002,167.300003,82772700
2/22/22,164.979996,166.690002,162.149994,164.320007,91162800
2/23/22,165.539993,166.149994,159.75,160.070007,90009200
2/24/22,152.580002,162.850006,152,162.740005,141147500
2/25/22,163.839996,165.119995,160.869995,164.850006,91974200
2/28/22,163.059998,165.419998,162.429993,165.119995,95056600
3/1/22,164.699997,166.600006,161.970001,163.199997,83474400
3/2/22,164.389999,167.360001,162.949997,166.559998,79724800
3/3/22,168.470001,168.910004,165.550003,166.229996,76678400
3/4/22,164.490005,165.550003,162.100006,163.169998,83737200
3/7/22,163.360001,165.020004,159.039993,159.300003,96418800
3/8/22,158.820007,162.880005,155.800003,157.440002,131148300
3/9/22,161.479996,163.410004,159.410004,162.949997,91454900
3/10/22,160.199997,160.389999,155.979996,158.520004,105342000
3/11/22,158.929993,159.279999,154.5,154.729996,96970100
3/14/22,151.449997,154.119995,150.100006,150.619995,108732100
3/15/22,150.899994,155.570007,150.380005,155.089996,92964300
3/16/22,157.050003,160,154.460007,159.589996,102300200
3/17/22,158.610001,161,157.630005,160.619995,75615400
3/18/22,160.509995,164.479996,159.759995,163.979996,123511700
3/21/22,163.509995,166.350006,163.009995,165.380005,95811400
3/22/22,165.509995,169.419998,164.910004,168.820007,81532000
3/23/22,167.990005,172.639999,167.649994,170.210007,98062700
3/24/22,171.059998,174.139999,170.210007,174.070007,90131400
3/25/22,173.880005,175.279999,172.75,174.720001,80546200
3/28/22,172.169998,175.729996,172,175.600006,90371900
3/29/22,176.690002,179.009995,176.339996,178.960007,100589400
3/30/22,178.550003,179.610001,176.699997,177.770004,92633200
3/31/22,177.839996,178.029999,174.399994,174.610001,103049300
4/1/22,174.029999,174.880005,171.940002,174.309998,78751300
4/4/22,174.570007,178.490005,174.440002,178.440002,76468400
4/5/22,177.5,178.300003,174.419998,175.059998,73401800
4/6/22,172.360001,173.630005,170.130005,171.830002,89058800
4/7/22,171.160004,173.360001,169.850006,172.139999,77594700
4/8/22,171.779999,171.779999,169.199997,170.089996,76575500
4/11/22,168.710007,169.029999,165.5,165.75,72246700
4/12/22,168.020004,169.869995,166.639999,167.660004,79265200
4/13/22,167.389999,171.039993,166.770004,170.399994,70618900
4/14/22,170.619995,171.270004,165.039993,165.289993,75329400
4/18/22,163.919998,166.600006,163.570007,165.070007,69023900
4/19/22,165.020004,167.820007,163.910004,167.399994,67723800
4/20/22,168.759995,168.880005,166.100006,167.229996,67929800
4/21/22,168.910004,171.529999,165.910004,166.419998,87227800
4/22/22,166.460007,167.869995,161.5,161.789993,84882400
4/25/22,161.119995,163.169998,158.460007,162.880005,96046400
4/26/22,162.25,162.339996,156.720001,156.800003,95623200
4/27/22,155.910004,159.789993,155.380005,156.570007,88063200
4/28/22,159.25,164.520004,158.929993,163.639999,130216800
4/29/22,161.839996,166.199997,157.25,157.649994,131747600
5/2/22,156.710007,158.229996,153.270004,157.960007,123055300
5/3/22,158.149994,160.710007,156.320007,159.479996,88966500
5/4/22,159.669998,166.479996,159.259995,166.020004,108256500
5/5/22,163.850006,164.080002,154.949997,156.770004,130525300
5/6/22,156.009995,159.440002,154.179993,157.279999,116124600
5/9/22,154.929993,155.830002,151.490005,152.059998,131577900
5/10/22,155.520004,156.740005,152.929993,154.509995,115366700
5/11/22,153.5,155.449997,145.809998,146.5,142689800
5/12/22,142.770004,146.199997,138.800003,142.559998,182602000
5/13/22,144.589996,148.100006,143.110001,147.110001,113990900
5/16/22,145.550003,147.520004,144.179993,145.539993,86643800
5/17/22,148.860001,149.770004,146.679993,149.240005,78336300
5/18/22,146.850006,147.360001,139.899994,140.820007,109742900
5/19/22,139.880005,141.660004,136.600006,137.350006,136095600
5/20/22,139.089996,140.699997,132.610001,137.589996,137426100
5/23/22,137.789993,143.259995,137.649994,143.110001,117726300
5/24/22,140.809998,141.970001,137.330002,140.360001,104132700
5/25/22,138.429993,141.789993,138.339996,140.520004,92482700
5/26/22,137.389999,144.339996,137.139999,143.779999,90601500
5/27/22,145.389999,149.679993,145.259995,149.639999,90978500
5/31/22,149.070007,150.660004,146.839996,148.839996,103718400
6/1/22,149.899994,151.740005,147.679993,148.710007,74286600
6/2/22,147.830002,151.270004,146.860001,151.210007,72348100
6/3/22,146.899994,147.970001,144.460007,145.380005,88570300
6/6/22,147.029999,148.570007,144.899994,146.139999,71598400
6/7/22,144.350006,149,144.100006,148.710007,67808200
6/8/22,148.580002,149.869995,147.460007,147.960007,53950200
6/9/22,147.080002,147.949997,142.529999,142.639999,69473000
6/10/22,140.279999,140.759995,137.059998,137.130005,91437900
6/13/22,132.869995,135.199997,131.440002,131.880005,122207100
6/14/22,133.130005,133.889999,131.479996,132.759995,84784300
6/15/22,134.289993,137.339996,132.160004,135.429993,91533000
6/16/22,132.080002,132.389999,129.039993,130.059998,108123900
6/17/22,130.070007,133.080002,129.809998,131.559998,134520300
6/21/22,133.419998,137.059998,133.320007,135.869995,81000500
6/22/22,134.789993,137.759995,133.910004,135.350006,73409200
6/23/22,136.820007,138.589996,135.630005,138.270004,72433800
6/24/22,139.899994,141.910004,139.770004,141.660004,89116800
6/27/22,142.699997,143.490005,140.970001,141.660004,70207900
6/28/22,142.130005,143.419998,137.320007,137.440002,67083400
6/29/22,137.460007,140.669998,136.669998,139.229996,66242400
6/30/22,137.25,138.369995,133.770004,136.720001,98964500
7/1/22,136.039993,139.039993,135.660004,138.929993,71051600
7/5/22,137.770004,141.610001,136.929993,141.559998,73353800
7/6/22,141.350006,144.119995,141.080002,142.919998,74064300
7/7/22,143.289993,146.550003,143.279999,146.350006,66253700
7/8/22,145.259995,147.550003,145,147.039993,64547800
7/11/22,145.669998,146.639999,143.779999,144.869995,63141600
7/12/22,145.759995,148.449997,145.050003,145.860001,77588800
7/13/22,142.990005,146.449997,142.119995,145.490005,71185600
7/14/22,144.080002,148.949997,143.25,148.470001,78140700
7/15/22,149.779999,150.860001,148.199997,150.169998,76259900
7/18/22,150.740005,151.570007,146.699997,147.070007,81420900
7/19/22,147.919998,151.229996,146.910004,151,82982400
7/20/22,151.119995,153.720001,150.369995,153.039993,64823400
7/21/22,154.5,155.570007,151.940002,155.350006,65086600
7/22/22,155.389999,156.279999,153.410004,154.089996,66675400
7/25/22,154.009995,155.039993,152.279999,152.949997,53623900
7/26/22,152.259995,153.089996,150.800003,151.600006,55138700
7/27/22,152.580002,157.330002,152.160004,156.789993,78620700
7/28/22,156.979996,157.639999,154.410004,157.350006,81378700
7/29/22,161.240005,163.630005,159.5,162.509995,101786900
8/1/22,161.009995,163.589996,160.889999,161.509995,67829400
8/2/22,160.100006,162.410004,159.630005,160.009995,59907000
8/3/22,160.839996,166.589996,160.75,166.130005,82507500
8/4/22,166.009995,167.190002,164.429993,165.809998,55474100
8/5/22,163.210007,165.850006,163,165.350006,56697000
8/8/22,166.369995,167.809998,164.199997,164.869995,60276900
8/9/22,164.020004,165.820007,163.25,164.919998,63135500
8/10/22,167.679993,169.339996,166.899994,169.240005,70170500
8/11/22,170.059998,170.990005,168.190002,168.490005,57149200
8/12/22,169.820007,172.169998,169.399994,172.100006,68039400
8/15/22,171.520004,173.389999,171.350006,173.190002,54091700
8/16/22,172.779999,173.710007,171.660004,173.029999,56377100
8/17/22,172.770004,176.149994,172.570007,174.550003,79542000
8/18/22,173.75,174.899994,173.119995,174.149994,62290100
8/19/22,173.029999,173.740005,171.309998,171.520004,70346300
8/22/22,169.690002,169.860001,167.139999,167.570007,69026800
8/23/22,167.080002,168.710007,166.649994,167.229996,54147100
8/24/22,167.320007,168.110001,166.25,167.529999,53841500
8/25/22,168.779999,170.139999,168.350006,170.029999,51218200
8/26/22,170.570007,171.050003,163.559998,163.619995,78961000
8/29/22,161.149994,162.899994,159.820007,161.380005,73314000
8/30/22,162.130005,162.559998,157.720001,158.910004,77906200
8/31/22,160.309998,160.580002,157.139999,157.220001,87991100
9/1/22,156.639999,158.419998,154.669998,157.960007,74229900
9/2/22,159.75,160.360001,154.970001,155.809998,76905200
9/6/22,156.470001,157.089996,153.690002,154.529999,73714800
9/7/22,154.820007,156.669998,153.610001,155.960007,87449600
9/8/22,154.639999,156.360001,152.679993,154.460007,84923800
9/9/22,155.470001,157.820007,154.75,157.369995,68028800
9/12/22,159.589996,164.259995,159.300003,163.429993,104956000
9/13/22,159.899994,160.539993,153.369995,153.839996,122656600
9/14/22,154.789993,157.100006,153.610001,155.309998,87965400
9/15/22,154.649994,155.240005,151.380005,152.369995,90481100
9/16/22,151.210007,151.350006,148.369995,150.699997,162157000
9/19/22,149.309998,154.559998,149.100006,154.479996,81474200
9/20/22,153.399994,158.080002,153.080002,156.899994,107547900